                       	strsep
Length   24/6, alignment 15/ 0, fail:	6.22888
Length   24/6, alignment 15/ 3, found:	24.1525
Length   24/6, alignment 15/ 3, fail:	6.49902
Length   24/6, alignment 15/ 9, found:	23.5472
Length   24/6, alignment 15/ 9, fail:	6.49902
Length   24/6, alignment 15/15, found:	27.0669
Length   24/6, alignment 15/15, fail:	6.77039
Length   30/6, alignment  0/ 0, found:	23.87
Length   30/6, alignment  0/ 0, fail:	5.6897
Length   30/6, alignment  0/ 3, found:	24.8579
Length   30/6, alignment  0/ 3, fail:	5.6897
Length   30/6, alignment  0/ 9, found:	23.9813
Length   30/6, alignment  0/ 9, fail:	5.68848
Length   30/6, alignment  0/15, found:	24.6096
Length   30/6, alignment  0/15, fail:	6.23132
Length   30/6, alignment  3/ 0, found:	23.2795
Length   30/6, alignment  3/ 0, fail:	6.22888
Length   30/6, alignment  3/ 3, found:	24.6243
Length   30/6, alignment  3/ 3, fail:	6.50391
Length   30/6, alignment  3/ 9, found:	23.5546
Length   30/6, alignment  3/ 9, fail:	6.4989
Length   30/6, alignment  3/15, found:	25.7161
