[sonic] running official CMake benchmark (benchmark/main.cpp)
2026-08-24T10:22:35+08:00
Running /tmp/boostkit-perf/32682799285-1/HPC/sonic/1.0.2/aarch64/build/benchmark/bench
Run on (256 X 2900 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB (x128)
  L1 Instruction 64 KiB (x128)
  L2 Unified 1280 KiB (x128)
  L3 Unified 57344 KiB (x4)
Load Average: 0.77, 0.26, 0.09
***WARNING*** ASLR is enabled, the results may have unreproducible noise in them.
-----------------------------------------------------------------------------------------------------------
Benchmark                                                 Time             CPU   Iterations UserCounters...
lottie/Decode_YYjson_mean                           1846440 ns      1844807 ns            5 bytes_per_second=149.362Mi/s testdata/lottie.json
lottie/Decode_YYjson_median                         1846230 ns      1844554 ns            5 bytes_per_second=149.383Mi/s testdata/lottie.json
lottie/Decode_YYjson_stddev                             654 ns          627 ns            5 bytes_per_second=51.9555Ki/s testdata/lottie.json
lottie/Decode_YYjson_cv                                0.04 %          0.03 %             5 bytes_per_second=0.03% testdata/lottie.json
lottie/Decode_SIMDjson_mean                          553331 ns       552850 ns            5 bytes_per_second=498.407Mi/s testdata/lottie.json
lottie/Decode_SIMDjson_median                        553292 ns       552818 ns            5 bytes_per_second=498.436Mi/s testdata/lottie.json
lottie/Decode_SIMDjson_stddev                           208 ns          214 ns            5 bytes_per_second=197.209Ki/s testdata/lottie.json
lottie/Decode_SIMDjson_cv                              0.04 %          0.04 %             5 bytes_per_second=0.04% testdata/lottie.json
lottie/Decode_JsonCpp_mean                         87284162 ns     87224243 ns            5 bytes_per_second=3.15904Mi/s testdata/lottie.json
lottie/Decode_JsonCpp_median                       87177279 ns     87115503 ns            5 bytes_per_second=3.16298Mi/s testdata/lottie.json
lottie/Decode_JsonCpp_stddev                         170726 ns       170659 ns            5 bytes_per_second=6.32076Ki/s testdata/lottie.json
lottie/Decode_JsonCpp_cv                               0.20 %          0.20 %             5 bytes_per_second=0.20% testdata/lottie.json
gsoc-2018/Decode_SonicDyn_mean                      1199891 ns      1198759 ns            5 bytes_per_second=2.58541Gi/s testdata/gsoc-2018.json
gsoc-2018/Decode_SonicDyn_median                    1200009 ns      1198927 ns            5 bytes_per_second=2.58505Gi/s testdata/gsoc-2018.json
gsoc-2018/Decode_SonicDyn_stddev                        375 ns          366 ns            5 bytes_per_second=828.645Ki/s testdata/gsoc-2018.json
gsoc-2018/Decode_SonicDyn_cv                           0.03 %          0.03 %             5 bytes_per_second=0.03% testdata/gsoc-2018.json
gsoc-2018/Decode_Rapidjson_mean                    13048047 ns     13039775 ns            5 bytes_per_second=243.384Mi/s testdata/gsoc-2018.json
gsoc-2018/Decode_Rapidjson_median                  13040025 ns     13031965 ns            5 bytes_per_second=243.529Mi/s testdata/gsoc-2018.json
gsoc-2018/Decode_Rapidjson_stddev                     16127 ns        15794 ns            5 bytes_per_second=301.525Ki/s testdata/gsoc-2018.json
gsoc-2018/Decode_Rapidjson_cv                          0.12 %          0.12 %             5 bytes_per_second=0.12% testdata/gsoc-2018.json
gsoc-2018/Decode_YYjson_mean                        8110374 ns      8103114 ns            5 bytes_per_second=391.661Mi/s testdata/gsoc-2018.json
gsoc-2018/Decode_YYjson_median                      8105088 ns      8098034 ns            5 bytes_per_second=391.906Mi/s testdata/gsoc-2018.json
gsoc-2018/Decode_YYjson_stddev                        13074 ns        13053 ns            5 bytes_per_second=644.736Ki/s testdata/gsoc-2018.json
gsoc-2018/Decode_YYjson_cv                             0.16 %          0.16 %             5 bytes_per_second=0.16% testdata/gsoc-2018.json
gsoc-2018/Decode_SIMDjson_mean                      1299878 ns      1298750 ns            5 bytes_per_second=2.38636Gi/s testdata/gsoc-2018.json
gsoc-2018/Decode_SIMDjson_median                    1299360 ns      1298232 ns            5 bytes_per_second=2.38731Gi/s testdata/gsoc-2018.json
gsoc-2018/Decode_SIMDjson_stddev                       1286 ns         1269 ns            5 bytes_per_second=2.38446Mi/s testdata/gsoc-2018.json
gsoc-2018/Decode_SIMDjson_cv                           0.10 %          0.10 %             5 bytes_per_second=0.10% testdata/gsoc-2018.json
gsoc-2018/Decode_JsonCpp_mean                      59495704 ns     59448032 ns            5 bytes_per_second=53.5259Mi/s testdata/gsoc-2018.json
gsoc-2018/Decode_JsonCpp_median                    57938633 ns     57893922 ns            5 bytes_per_second=54.8187Mi/s testdata/gsoc-2018.json
gsoc-2018/Decode_JsonCpp_stddev                     3542814 ns      3536136 ns            5 bytes_per_second=2.94882Mi/s testdata/gsoc-2018.json
gsoc-2018/Decode_JsonCpp_cv                            5.95 %          5.95 %             5 bytes_per_second=5.51% testdata/gsoc-2018.json
github_events/Decode_SonicDyn_mean                    44904 ns        44880 ns            5 bytes_per_second=1.35159Gi/s testdata/github_events.json
github_events/Decode_SonicDyn_median                  44889 ns        44866 ns            5 bytes_per_second=1.35201Gi/s testdata/github_events.json
github_events/Decode_SonicDyn_stddev                   34.7 ns         34.8 ns            5 bytes_per_second=1.07124Mi/s testdata/github_events.json
github_events/Decode_SonicDyn_cv                       0.08 %          0.08 %             5 bytes_per_second=0.08% testdata/github_events.json
github_events/Decode_Rapidjson_mean                  223686 ns       223570 ns            5 bytes_per_second=277.831Mi/s testdata/github_events.json
github_events/Decode_Rapidjson_median                223658 ns       223538 ns            5 bytes_per_second=277.871Mi/s testdata/github_events.json
github_events/Decode_Rapidjson_stddev                  79.2 ns         85.4 ns            5 bytes_per_second=108.671Ki/s testdata/github_events.json
github_events/Decode_Rapidjson_cv                      0.04 %          0.04 %             5 bytes_per_second=0.04% testdata/github_events.json
github_events/Decode_YYjson_mean                     178387 ns       178296 ns            5 bytes_per_second=348.38Mi/s testdata/github_events.json
github_events/Decode_YYjson_median                   178391 ns       178302 ns            5 bytes_per_second=348.367Mi/s testdata/github_events.json
github_events/Decode_YYjson_stddev                     26.9 ns         27.3 ns            5 bytes_per_second=54.7157Ki/s testdata/github_events.json
github_events/Decode_YYjson_cv                         0.02 %          0.02 %             5 bytes_per_second=0.02% testdata/github_events.json
github_events/Decode_SIMDjson_mean                    29091 ns        29077 ns            5 bytes_per_second=2.08662Gi/s testdata/github_events.json
github_events/Decode_SIMDjson_median                  28881 ns        28867 ns            5 bytes_per_second=2.10133Gi/s testdata/github_events.json
github_events/Decode_SIMDjson_stddev                    476 ns          476 ns            5 bytes_per_second=34.2141Mi/s testdata/github_events.json
github_events/Decode_SIMDjson_cv                       1.64 %          1.64 %             5 bytes_per_second=1.60% testdata/github_events.json
github_events/Decode_JsonCpp_mean                   2574290 ns      2572732 ns            5 bytes_per_second=24.1435Mi/s testdata/github_events.json
github_events/Decode_JsonCpp_median                 2574863 ns      2573255 ns            5 bytes_per_second=24.1386Mi/s testdata/github_events.json
github_events/Decode_JsonCpp_stddev                    1761 ns         1698 ns            5 bytes_per_second=16.3181Ki/s testdata/github_events.json
github_events/Decode_JsonCpp_cv                        0.07 %          0.07 %             5 bytes_per_second=0.07% testdata/github_events.json
fgo/Decode_SonicDyn_mean                           69488353 ns     69379136 ns            5 bytes_per_second=670.34Mi/s testdata/fgo.json
fgo/Decode_SonicDyn_median                         69669388 ns     69555159 ns            5 bytes_per_second=668.62Mi/s testdata/fgo.json
fgo/Decode_SonicDyn_stddev                           459906 ns       457543 ns            5 bytes_per_second=4.45973Mi/s testdata/fgo.json
fgo/Decode_SonicDyn_cv                                 0.66 %          0.66 %             5 bytes_per_second=0.67% testdata/fgo.json
fgo/Decode_Rapidjson_mean                         195988127 ns    195755851 ns            5 bytes_per_second=237.573Mi/s testdata/fgo.json
fgo/Decode_Rapidjson_median                       196134207 ns    195917713 ns            5 bytes_per_second=237.375Mi/s testdata/fgo.json
fgo/Decode_Rapidjson_stddev                          611884 ns       596010 ns            5 bytes_per_second=743.099Ki/s testdata/fgo.json
fgo/Decode_Rapidjson_cv                                0.31 %          0.30 %             5 bytes_per_second=0.31% testdata/fgo.json
fgo/Decode_YYjson_mean                            202147133 ns    201924116 ns            5 bytes_per_second=230.314Mi/s testdata/fgo.json
fgo/Decode_YYjson_median                          202141203 ns    201919810 ns            5 bytes_per_second=230.319Mi/s testdata/fgo.json
fgo/Decode_YYjson_stddev                             234983 ns       233094 ns            5 bytes_per_second=272.244Ki/s testdata/fgo.json
fgo/Decode_YYjson_cv                                   0.12 %          0.12 %             5 bytes_per_second=0.12% testdata/fgo.json
fgo/Decode_SIMDjson_mean                           61136149 ns     61045276 ns            5 bytes_per_second=761.828Mi/s testdata/fgo.json
fgo/Decode_SIMDjson_median                         61129722 ns     61040557 ns            5 bytes_per_second=761.886Mi/s testdata/fgo.json
fgo/Decode_SIMDjson_stddev                            11404 ns        12089 ns            5 bytes_per_second=154.477Ki/s testdata/fgo.json
fgo/Decode_SIMDjson_cv                                 0.02 %          0.02 %             5 bytes_per_second=0.02% testdata/fgo.json
fgo/Decode_JsonCpp_mean                          6770040476 ns   6766024336 ns            5 bytes_per_second=6.87504Mi/s testdata/fgo.json
