                       	strsep
Length   35/5, alignment  0/ 9, found:	17.9407
Length   35/5, alignment  0/ 9, fail:	15.8704
Length   35/5, alignment  0/15, found:	18.2288
Length   35/5, alignment  0/15, fail:	15.8704
Length   35/5, alignment  3/ 0, found:	17.9358
Length   35/5, alignment  3/ 0, fail:	15.8691
Length   35/5, alignment  3/ 3, found:	17.9407
Length   35/5, alignment  3/ 3, fail:	15.8691
Length   35/5, alignment  3/ 9, found:	17.9407
Length   35/5, alignment  3/ 9, fail:	15.8667
Length   35/5, alignment  3/15, found:	17.9395
Length   35/5, alignment  3/15, fail:	15.8667
Length   35/5, alignment  9/ 0, found:	17.9431
Length   35/5, alignment  9/ 0, fail:	15.8667
Length   35/5, alignment  9/ 3, found:	17.9407
Length   35/5, alignment  9/ 3, fail:	15.8716
Length   35/5, alignment  9/ 9, found:	17.9419
Length   35/5, alignment  9/ 9, fail:	15.8716
Length   35/5, alignment  9/15, found:	17.937
Length   35/5, alignment  9/15, fail:	15.8691
Length   35/5, alignment 15/ 0, found:	18.5461
Length   35/5, alignment 15/ 0, fail:	16.5076
Length   35/5, alignment 15/ 3, found:	18.49
Length   35/5, alignment 15/ 3, fail:	16.4673
Length   35/5, alignment 15/ 9, found:	18.2825
Length   35/5, alignment 15/ 9, fail:	16.4709
Length   35/5, alignment 15/15, found:	18.3667
Length   35/5, alignment 15/15, fail:	16.4563
Length   24/6, alignment  0/ 0, found:	17.6025
Length   24/6, alignment  0/ 0, fail:	15.874
Length   24/6, alignment  0/ 3, found:	17.8052
Length   24/6, alignment  0/ 3, fail:	15.874
Length   24/6, alignment  0/ 9, found:	17.5964
Length   24/6, alignment  0/ 9, fail:	15.8789
Length   24/6, alignment  0/15, found:	17.5977
Length   24/6, alignment  0/15, fail:	15.8704
Length   24/6, alignment  3/ 0, found:	17.5903
Length   24/6, alignment  3/ 0, fail:	15.8752
Length   24/6, alignment  3/ 3, found:	17.5964
Length   24/6, alignment  3/ 3, fail:	15.874
Length   24/6, alignment  3/ 9, found:	17.5916
Length   24/6, alignment  3/ 9, fail:	15.8716
Length   24/6, alignment  3/15, found:	17.5928
Length   24/6, alignment  3/15, fail:	15.8765
Length   24/6, alignment  9/ 0, found:	17.9602
Length   24/6, alignment  9/ 0, fail:	16.4111
Length   24/6, alignment  9/ 3, found:	17.9382
Length   24/6, alignment  9/ 3, fail:	16.582
Length   24/6, alignment  9/ 9, found:	17.9407
Length   24/6, alignment  9/ 9, fail:	16.6113
Length   24/6, alignment  9/15, found:	17.9395
Length   24/6, alignment  9/15, fail:	16.6187
Length   24/6, alignment 15/ 0, found:	17.937
Length   24/6, alignment 15/ 0, fail:	16.6016
Length   24/6, alignment 15/ 3, found:	17.9431
Length   24/6, alignment 15/ 3, fail:	16.5051
Length   24/6, alignment 15/ 9, found:	17.9443
Length   24/6, alignment 15/ 9, fail:	16.6101
Length   24/6, alignment 15/15, found:	18.3325
Length   24/6, alignment 15/15, fail:	16.3733
Length   30/6, alignment  0/ 0, found:	17.6013
Length   30/6, alignment  0/ 0, fail:	15.8887
Length   30/6, alignment  0/ 3, found:	17.5964
Length   30/6, alignment  0/ 3, fail:	15.8789
Length   30/6, alignment  0/ 9, found:	17.594
Length   30/6, alignment  0/ 9, fail:	15.874
Length   30/6, alignment  0/15, found:	17.5952
Length   30/6, alignment  0/15, fail:	15.8752
Length   30/6, alignment  3/ 0, found:	17.9565
Length   30/6, alignment  3/ 0, fail:	16.6187
Length   30/6, alignment  3/ 3, found:	17.937
Length   30/6, alignment  3/ 3, fail:	16.4185
Length   30/6, alignment  3/ 9, found:	17.9419
Length   30/6, alignment  3/ 9, fail:	16.6089
Length   30/6, alignment  3/15, found:	17.9407
Length   30/6, alignment  3/15, fail:	16.6089
