[sonic-cpp] running official CMake benchmark (benchmark/main.cpp)
2026-09-08T11:02:06+08:00
Running /home/runner/boostkit-perf/sonic-cpp/1.0.2/x86_64/34181714311-2/build/benchmark/bench
Run on (384 X 2400 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x192)
  L1 Instruction 32 KiB (x192)
  L2 Unified 1024 KiB (x192)
  L3 Unified 32768 KiB (x24)
Load Average: 0.63, 1.89, 1.86
***WARNING*** ASLR is enabled, the results may have unreproducible noise in them.
-----------------------------------------------------------------------------------------------------------
Benchmark                                                 Time             CPU   Iterations UserCounters...
github_events/Decode_SIMDjson_median                  16968 ns        16905 ns            5 bytes_per_second=3.58814Gi/s testdata/github_events.json
github_events/Decode_SIMDjson_stddev                   25.1 ns         15.7 ns            5 bytes_per_second=3.3953Mi/s testdata/github_events.json
github_events/Decode_SIMDjson_cv                       0.15 %          0.09 %             5 bytes_per_second=0.09% testdata/github_events.json
github_events/Decode_JsonCpp_mean                   2206064 ns      2197553 ns            5 bytes_per_second=28.2654Mi/s testdata/github_events.json
github_events/Decode_JsonCpp_median                 2206742 ns      2198105 ns            5 bytes_per_second=28.2583Mi/s testdata/github_events.json
github_events/Decode_JsonCpp_stddev                    2114 ns         1985 ns            5 bytes_per_second=26.1538Ki/s testdata/github_events.json
github_events/Decode_JsonCpp_cv                        0.10 %          0.09 %             5 bytes_per_second=0.09% testdata/github_events.json
poet/Decode_SonicDyn_mean                            803682 ns       800262 ns            5 bytes_per_second=4.0882Gi/s testdata/poet.json
poet/Decode_SonicDyn_median                          803625 ns       800215 ns            5 bytes_per_second=4.08843Gi/s testdata/poet.json
poet/Decode_SonicDyn_stddev                             248 ns          225 ns            5 bytes_per_second=1.17807Mi/s testdata/poet.json
poet/Decode_SonicDyn_cv                                0.03 %          0.03 %             5 bytes_per_second=0.03% testdata/poet.json
poet/Decode_Rapidjson_mean                          4791171 ns      4770129 ns            5 bytes_per_second=702.318Mi/s testdata/poet.json
poet/Decode_Rapidjson_median                        4792925 ns      4772373 ns            5 bytes_per_second=701.987Mi/s testdata/poet.json
poet/Decode_Rapidjson_stddev                           4801 ns         4113 ns            5 bytes_per_second=620.286Ki/s testdata/poet.json
poet/Decode_Rapidjson_cv                               0.10 %          0.09 %             5 bytes_per_second=0.09% testdata/poet.json
poet/Decode_YYjson_mean                             2681732 ns      2670196 ns            5 bytes_per_second=1.22524Gi/s testdata/poet.json
poet/Decode_YYjson_median                           2681872 ns      2669921 ns            5 bytes_per_second=1.22536Gi/s testdata/poet.json
poet/Decode_YYjson_stddev                               688 ns          758 ns            5 bytes_per_second=364.54Ki/s testdata/poet.json
poet/Decode_YYjson_cv                                  0.03 %          0.03 %             5 bytes_per_second=0.03% testdata/poet.json
poet/Decode_SIMDjson_mean                            945738 ns       941716 ns            5 bytes_per_second=3.47411Gi/s testdata/poet.json
poet/Decode_SIMDjson_median                          945982 ns       941980 ns            5 bytes_per_second=3.47314Gi/s testdata/poet.json
